{'CVE-2010-1637'},CVE-2010-1637
{'DatabaseServer'},DatabaseServer
{'CWE_161'},CWE_161
{'det-attack-pattern--17cc750b-e95b-4d7d-9dde-49e0de24148c'},det-attack-pattern--17cc750b-e95b-4d7d-9dde-49e0de24148c
{'det-attack-pattern--1988cc35-ced8-4dad-b2d1-7628488fa967'},det-attack-pattern--1988cc35-ced8-4dad-b2d1-7628488fa967
{'CVE-2009-3520'},CVE-2009-3520
{'course-of-action--9ab7de33-99b2-4d8d-8cf3-182fa0015cc2'},course-of-action--9ab7de33-99b2-4d8d-8cf3-182fa0015cc2
{'CWE_695'},CWE_695
{'attack-pattern--4f9ca633-15c5-463c-9724-bdcd54fde541'},attack-pattern--4f9ca633-15c5-463c-9724-bdcd54fde541
{'AP_613'},AP_613
{'attack-pattern--ad255bfe-a9e6-4b52-a258-8d3462abe842'},attack-pattern--ad255bfe-a9e6-4b52-a258-8d3462abe842
{'malware--5dd649c0-bca4-488b-bd85-b180474ec62e'},malware--5dd649c0-bca4-488b-bd85-b180474ec62e
{'AP_263'},AP_263
{'AP_280'},AP_280
{'CWE_1173'},CWE_1173
{'CVE-2004-1687'},CVE-2004-1687
{'det-attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18'},det-attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18
{'M-CWE_9'},M-CWE_9
{'CVE-2007-2500'},CVE-2007-2500
{'det-AP_54'},det-AP_54
{'course-of-action--94927849-03e3-4a07-8f4c-9ee21b626719'},course-of-action--94927849-03e3-4a07-8f4c-9ee21b626719
{'malware--069af411-9b24-4e85-b26c-623d035bbe84'},malware--069af411-9b24-4e85-b26c-623d035bbe84
{'det-AP_53'},det-AP_53
{'course-of-action--13cad982-35e3-4340-9095-7124b653df4b'},course-of-action--13cad982-35e3-4340-9095-7124b653df4b
{'attack-pattern--ca9d3402-ada3-484d-876a-d717bd6e05f2'},attack-pattern--ca9d3402-ada3-484d-876a-d717bd6e05f2
{'intrusion-set--f9c06633-dcff-48a1-8588-759e7cec5694'},intrusion-set--f9c06633-dcff-48a1-8588-759e7cec5694
{'M-CWE_362'},M-CWE_362
{'M-CWE_163'},M-CWE_163
{'det-attack-pattern--0c8ab3eb-df48-4b9c-ace7-beacaac81cc5'},det-attack-pattern--0c8ab3eb-df48-4b9c-ace7-beacaac81cc5
{'det-5-CWE_601'},det-5-CWE_601
{'CVE-2005-2969'},CVE-2005-2969
{'attack-pattern--bf1b6176-597c-4600-bfcd-ac989670f96b'},attack-pattern--bf1b6176-597c-4600-bfcd-ac989670f96b
{'M-CWE_365'},M-CWE_365
{'CVE-2005-1306'},CVE-2005-1306
{'CVE-2010-3189'},CVE-2010-3189
{'attack-pattern--f2d44246-91f1-478a-b6c8-1227e0ca109d'},attack-pattern--f2d44246-91f1-478a-b6c8-1227e0ca109d
{'CVE-1999-1193'},CVE-1999-1193
{'course-of-action--2995bc22-2851-4345-ad19-4e7e295be264'},course-of-action--2995bc22-2851-4345-ad19-4e7e295be264
{'CWE_693'},CWE_693
{'CVE-2004-1602'},CVE-2004-1602
{'malware--3c02fb1f-cbdb-48f5-abaf-8c81d6e0c322'},malware--3c02fb1f-cbdb-48f5-abaf-8c81d6e0c322
{'det-attack-pattern--f7827069-0bf2-4764-af4f-23fae0d181b7'},det-attack-pattern--f7827069-0bf2-4764-af4f-23fae0d181b7
{'CVE-2005-0235'},CVE-2005-0235
{'CVE-2010-0467'},CVE-2010-0467
{'det-3-CWE_22'},det-3-CWE_22
{'malware--67e6d66b-1b82-4699-b47a-e2efb6268d14'},malware--67e6d66b-1b82-4699-b47a-e2efb6268d14
{'M-CWE_457'},M-CWE_457
{'M-CWE_638'},M-CWE_638
{'CVE-2009-1350'},CVE-2009-1350
{'CVE-2005-1682'},CVE-2005-1682
{'M-CWE_654'},M-CWE_654
{'AP_38'},AP_38
{'attack-pattern--36675cd3-fe00-454c-8516-aebecacbe9d9'},attack-pattern--36675cd3-fe00-454c-8516-aebecacbe9d9
{'malware--efece7e8-e40b-49c2-9f84-c55c5c93d05c'},malware--efece7e8-e40b-49c2-9f84-c55c5c93d05c
{'C'},C
{'AP_181'},AP_181
{'AP_594'},AP_594
{'attack-pattern--56ff457d-5e39-492b-974c-dfd2b8603ffe'},attack-pattern--56ff457d-5e39-492b-974c-dfd2b8603ffe
{'AP_42'},AP_42
{'CVE-2004-1995'},CVE-2004-1995
{'CVE-2002-0265'},CVE-2002-0265
{'CWE_563'},CWE_563
{'AP_273'},AP_273
{'CWE_842'},CWE_842
{'course-of-action--dd9a85ad-6a92-4986-a215-b01d0ce7b987'},course-of-action--dd9a85ad-6a92-4986-a215-b01d0ce7b987
{'det-1-CWE_41'},det-1-CWE_41
{'CVE-2002-2066'},CVE-2002-2066
{'M-CWE_649'},M-CWE_649
{'AP_247'},AP_247
{'malware--4c59cce8-cb48-4141-b9f1-f646edfaadb0'},malware--4c59cce8-cb48-4141-b9f1-f646edfaadb0
{'intrusion-set--c5947e1c-1cbc-434c-94b8-27c7e3be0fff'},intrusion-set--c5947e1c-1cbc-434c-94b8-27c7e3be0fff
{'malware--69d6f4a9-fcf0-4f51-bca7-597c51ad0bb8'},malware--69d6f4a9-fcf0-4f51-bca7-597c51ad0bb8
{'M-CWE_107'},M-CWE_107
{'CVE-2009-0124'},CVE-2009-0124
{'attack-pattern--215190a9-9f02-4e83-bb5f-e0589965a302'},attack-pattern--215190a9-9f02-4e83-bb5f-e0589965a302
{'CWE_108'},CWE_108
{'CWE_908'},CWE_908
{'malware--76abb3ef-dafd-4762-97cb-a35379429db4'},malware--76abb3ef-dafd-4762-97cb-a35379429db4
{'CWE_352'},CWE_352
{'AP_117'},AP_117
{'CVE-2004-2219'},CVE-2004-2219
{'CWE_428'},CWE_428
{'M-CWE_106'},M-CWE_106
{'CWE_1108'},CWE_1108
{'M-CWE_337'},M-CWE_337
{'CVE-2002-1374'},CVE-2002-1374
{'attack-pattern--21875073-b0ee-49e3-9077-1e2a885359af'},attack-pattern--21875073-b0ee-49e3-9077-1e2a885359af
{'malware--835a79f1-842d-472d-b8f4-d54b545c341b'},malware--835a79f1-842d-472d-b8f4-d54b545c341b
{'CWE_112'},CWE_112
{'M-CWE_615'},M-CWE_615
{'CWE_834'},CWE_834
{'det-attack-pattern--c3888c54-775d-4b2f-b759-75a2ececcbfd'},det-attack-pattern--c3888c54-775d-4b2f-b759-75a2ececcbfd
{'CWE_602'},CWE_602
{'CVE-2011-1848'},CVE-2011-1848
{'CVE-2009-3289'},CVE-2009-3289
{'attack-pattern--62b8c999-dcc0-4755-bd69-09442d9359f5'},attack-pattern--62b8c999-dcc0-4755-bd69-09442d9359f5
{'course-of-action--9a5b7194-88e0-4579-b82f-e3c27b8cca80'},course-of-action--9a5b7194-88e0-4579-b82f-e3c27b8cca80
{'CWE_773'},CWE_773
{'CVE-2008-2374'},CVE-2008-2374
{'CWE_403'},CWE_403
{'det-attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662'},det-attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662
{'CVE-2005-1652'},CVE-2005-1652
{'CVE-2005-1824'},CVE-2005-1824
{'CVE-2001-1152'},CVE-2001-1152
{'det-attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67'},det-attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67
{'malware--8caa18af-4758-4fd3-9600-e8af579e89ed'},malware--8caa18af-4758-4fd3-9600-e8af579e89ed
{'attack-pattern--58a3e6aa-4453-4cc8-a51f-4befe80b31a8'},attack-pattern--58a3e6aa-4453-4cc8-a51f-4befe80b31a8
{'CWE_652'},CWE_652
{'AP_314'},AP_314
{'AP_226'},AP_226
{'CVE-2009-1283'},CVE-2009-1283
{'CVE-2001-0497'},CVE-2001-0497
{'det-attack-pattern--c675646d-e204-4aa8-978d-e3d6d65885c4'},det-attack-pattern--c675646d-e204-4aa8-978d-e3d6d65885c4
{'CVE-2009-0689'},CVE-2009-0689
{'attack-pattern--dcaa092b-7de9-4a21-977f-7fcb77e89c48'},attack-pattern--dcaa092b-7de9-4a21-977f-7fcb77e89c48
{'det-3-CWE_916'},det-3-CWE_916
{'CWE_291'},CWE_291
{'CVE-2006-6629'},CVE-2006-6629
{'AP_548'},AP_548
{'det-3-CWE_250'},det-3-CWE_250
{'CVE-2008-3324'},CVE-2008-3324
{'AP_99'},AP_99
{'CVE-2007-2925'},CVE-2007-2925
{'det-attack-pattern--69b8fd78-40e8-4600-ae4d-662c9d7afdb3'},det-attack-pattern--69b8fd78-40e8-4600-ae4d-662c9d7afdb3
{'CWE_318'},CWE_318
{'AP_155'},AP_155
{'det-attack-pattern--1eaebf46-e361-4437-bc23-d5d65a3b92e3'},det-attack-pattern--1eaebf46-e361-4437-bc23-d5d65a3b92e3
{'det-attack-pattern--69e5226d-05dc-4f15-95d7-44f5ed78d06e'},det-attack-pattern--69e5226d-05dc-4f15-95d7-44f5ed78d06e
{'CWE_597'},CWE_597
{'CWE_690'},CWE_690
{'MIT-4.3'},MIT-4.3
{'rdf-schema#Class'},rdf-schema#Class
{'CVE-2001-0996'},CVE-2001-0996
{'intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2'},intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2
{'CVE-2001-0943'},CVE-2001-0943
{'CVE-2008-0174'},CVE-2008-0174
{'CVE-2002-0406'},CVE-2002-0406
{'CVE-2002-2069'},CVE-2002-2069
{'attack-pattern--79a47ad0-fc3b-4821-9f01-a026b1ddba21'},attack-pattern--79a47ad0-fc3b-4821-9f01-a026b1ddba21
{'malware--53cf6cc4-65aa-445a-bcf8-c3d296f8a7a2'},malware--53cf6cc4-65aa-445a-bcf8-c3d296f8a7a2
{'CWE_502'},CWE_502
{'det-attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104'},det-attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104
{'attack-pattern--b83e166d-13d7-4b52-8677-dff90c548fd7'},attack-pattern--b83e166d-13d7-4b52-8677-dff90c548fd7
{'CWE_375'},CWE_375
{'course-of-action--12c13879-b7bd-4bc5-8def-aacec386d432'},course-of-action--12c13879-b7bd-4bc5-8def-aacec386d432
{'malware--59a97b15-8189-4d51-9404-e1ce8ea4a069'},malware--59a97b15-8189-4d51-9404-e1ce8ea4a069
{'M-CWE_405'},M-CWE_405
{'AP_621'},AP_621
{'M-CWE_686'},M-CWE_686
{'CVE-2005-2276'},CVE-2005-2276
{'det-6-CWE_285'},det-6-CWE_285
{'det-2-CWE_863'},det-2-CWE_863
{'CVE-2004-0005'},CVE-2004-0005
{'CWE_1103'},CWE_1103
{'det-attack-pattern--1ecfdab8-7d59-4c98-95d4-dc41970f57fc'},det-attack-pattern--1ecfdab8-7d59-4c98-95d4-dc41970f57fc
{'det-attack-pattern--a6937325-9321-4e2e-bb2b-3ed2d40b2a9d'},det-attack-pattern--a6937325-9321-4e2e-bb2b-3ed2d40b2a9d
{'malware--d20b397a-ea47-48a9-b503-2e2a3551e11d'},malware--d20b397a-ea47-48a9-b503-2e2a3551e11d
{'det-3-CWE_862'},det-3-CWE_862
{'det-5-CWE_863'},det-5-CWE_863
{'AP_458'},AP_458
{'AP_385'},AP_385
{'det-3-CWE_285'},det-3-CWE_285
{'course-of-action--37a3f3f5-76e6-43fe-b935-f1f494c95725'},course-of-action--37a3f3f5-76e6-43fe-b935-f1f494c95725
{'AP_596'},AP_596
{'det-attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670'},det-attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670
{'CVE-2012-4787'},CVE-2012-4787
{'attack-pattern--d45a3d09-b3cf-48f4-9f0f-f521ee5cb05c'},attack-pattern--d45a3d09-b3cf-48f4-9f0f-f521ee5cb05c
{'AP_233'},AP_233
{'AP_132'},AP_132
{'AP_469'},AP_469
{'CVE-2001-0398'},CVE-2001-0398
{'tool--afc079f3-c0ea-4096-b75d-3f05338b7f60'},tool--afc079f3-c0ea-4096-b75d-3f05338b7f60
{'CVE-2008-1700'},CVE-2008-1700
{'CWE_402'},CWE_402
{'CVE-2005-3288'},CVE-2005-3288
{'CWE_368'},CWE_368
{'course-of-action--2d704e56-e689-4011-b989-bf4e025a8727'},course-of-action--2d704e56-e689-4011-b989-bf4e025a8727
{'CVE-2004-1012'},CVE-2004-1012
{'CVE-2009-0269'},CVE-2009-0269
{'CWE_778'},CWE_778
{'AP_107'},AP_107
{'CVE-2010-2160'},CVE-2010-2160
{'CVE-2004-1939'},CVE-2004-1939
{'CVE-2000-1114'},CVE-2000-1114
{'course-of-action--28c0f30c-32c3-4c6c-a474-74820e55854f'},course-of-action--28c0f30c-32c3-4c6c-a474-74820e55854f
{'CVE-2008-4113'},CVE-2008-4113
{'AP_63'},AP_63
{'MIT-48'},MIT-48
{'M-CWE_410'},M-CWE_410
{'det-AP_100'},det-AP_100
{'CVE-2002-1721'},CVE-2002-1721
{'course-of-action--417fed8c-bd76-48b5-90a2-a88882a95241'},course-of-action--417fed8c-bd76-48b5-90a2-a88882a95241
{'CWE_174'},CWE_174
{'CWE_203'},CWE_203
{'M-CWE_591'},M-CWE_591
{'tool--4fa49fc0-9162-4bdb-a37e-7aa3dcb6d38b'},tool--4fa49fc0-9162-4bdb-a37e-7aa3dcb6d38b
{'CVE-2004-1935'},CVE-2004-1935
{'CVE-2005-1951'},CVE-2005-1951
{'det-attack-pattern--910906dd-8c0a-475a-9cc1-5e029e2fad58'},det-attack-pattern--910906dd-8c0a-475a-9cc1-5e029e2fad58
{'attack-pattern--86a96bf6-cf8b-411c-aaeb-8959944d64f7'},attack-pattern--86a96bf6-cf8b-411c-aaeb-8959944d64f7
{'CWE_1089'},CWE_1089
{'CVE-2005-2027'},CVE-2005-2027
{'CVE-2006-3015'},CVE-2006-3015
{'CVE-1999-0783'},CVE-1999-0783
{'tool--5fc81b43-62b5-41b1-9113-c79ae5f030c4'},tool--5fc81b43-62b5-41b1-9113-c79ae5f030c4
{'CVE-2009-0846'},CVE-2009-0846
{'det-attack-pattern--30973a08-aed9-4edf-8604-9084ce1b5c4f'},det-attack-pattern--30973a08-aed9-4edf-8604-9084ce1b5c4f
{'CWE_188'},CWE_188
{'malware--a60657fa-e2e7-4f8f-8128-a882534ae8c5'},malware--a60657fa-e2e7-4f8f-8128-a882534ae8c5
{'attack-pattern--806a49c4-970d-43f9-9acc-ac0ee11e6662'},attack-pattern--806a49c4-970d-43f9-9acc-ac0ee11e6662
{'M-CWE_444'},M-CWE_444
{'det-attack-pattern--d273434a-448e-4598-8e14-607f4a0d5e27'},det-attack-pattern--d273434a-448e-4598-8e14-607f4a0d5e27
{'det-6-CWE_306'},det-6-CWE_306
{'M-CWE_529'},M-CWE_529
{'attack-pattern--613d08bc-e8f4-4791-80b0-c8b974340dfd'},attack-pattern--613d08bc-e8f4-4791-80b0-c8b974340dfd
{'malware--518bb5f1-91f4-4ff2-b09d-5a94e1ebe95f'},malware--518bb5f1-91f4-4ff2-b09d-5a94e1ebe95f
{'AP_584'},AP_584
{'attack-pattern--3298ce88-1628-43b1-87d9-0b5336b193d7'},attack-pattern--3298ce88-1628-43b1-87d9-0b5336b193d7
{'AP_568'},AP_568
{'det-attack-pattern--65f2d882-3f41-4d48-8a06-29af77ec9f90'},det-attack-pattern--65f2d882-3f41-4d48-8a06-29af77ec9f90
{'CWE_307'},CWE_307
{'AP_290'},AP_290
{'M-CWE_143'},M-CWE_143
{'CWE_1188'},CWE_1188
{'M-CWE_447'},M-CWE_447
{'AP_528'},AP_528
{'det-0-CWE_259'},det-0-CWE_259
{'det-attack-pattern--a01bf75f-00b2-4568-a58f-565ff9bf202b'},det-attack-pattern--a01bf75f-00b2-4568-a58f-565ff9bf202b
{'det-AP_50'},det-AP_50
{'CVE-2008-4558'},CVE-2008-4558
{'attack-pattern--f6ad61ee-65f3-4bd0-a3f5-2f0accb36317'},attack-pattern--f6ad61ee-65f3-4bd0-a3f5-2f0accb36317
{'det-2-CWE_330'},det-2-CWE_330
{'CWE_225'},CWE_225
{'CVE-2008-0961'},CVE-2008-0961
{'malware--1f6e3702-7ca1-4582-b2e7-4591297d05a8'},malware--1f6e3702-7ca1-4582-b2e7-4591297d05a8
{'CVE-2005-2260'},CVE-2005-2260
{'CVE-2009-2698'},CVE-2009-2698
{'CVE-2002-0770'},CVE-2002-0770
{'M-CWE_587'},M-CWE_587
{'det-5-CWE_22'},det-5-CWE_22
{'M-CWE_600'},M-CWE_600
{'CVE-2005-2198'},CVE-2005-2198
{'det-6-CWE_89'},det-6-CWE_89
{'CWE_288'},CWE_288
{'CVE-2008-4577'},CVE-2008-4577
{'attack-pattern--0c8ab3eb-df48-4b9c-ace7-beacaac81cc5'},attack-pattern--0c8ab3eb-df48-4b9c-ace7-beacaac81cc5
{'CVE-2016-2402'},CVE-2016-2402
{'course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31'},course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31
{'AP_129'},AP_129
{'attack-pattern--b4b7458f-81f2-4d38-84be-1c5ba0167a52'},attack-pattern--b4b7458f-81f2-4d38-84be-1c5ba0167a52
{'CVE-2009-4272'},CVE-2009-4272
{'CVE-2007-1253'},CVE-2007-1253
{'malware--4b62ab58-c23b-4704-9c15-edd568cd59f8'},malware--4b62ab58-c23b-4704-9c15-edd568cd59f8
{'CVE-2002-1235'},CVE-2002-1235
{'AP_439'},AP_439
{'AP_164'},AP_164
{'CVE-2006-3617'},CVE-2006-3617
{'CWE_86'},CWE_86
{'det-9-CWE_601'},det-9-CWE_601
{'intrusion-set--7113eaa5-ba79-4fb3-b68a-398ee9cd698e'},intrusion-set--7113eaa5-ba79-4fb3-b68a-398ee9cd698e
{'det-11-CWE_732'},det-11-CWE_732
{'intrusion-set--23b6a0f5-fa95-46f9-a6f3-4549c5e45ec8'},intrusion-set--23b6a0f5-fa95-46f9-a6f3-4549c5e45ec8
{'attack-pattern--eb125d40-0b2d-41ac-a71a-3229241c2cd3'},attack-pattern--eb125d40-0b2d-41ac-a71a-3229241c2cd3
